date_SC,trial,channel,degree_min,temp_pulled,discolor_3day,est_scp,eclose,temp_pulled_grouped,uid,trial_id,degree_min_continuous
3/15/2019,1c,11,0.5,-6,1,NA,0,-6,161,2019-03-151c,0.5
3/15/2019,1c,13,0.5,-2,1,NA,0,-2,162,2019-03-151c,0.5
3/15/2019,1c,14,0.5,-16,1,NA,0,-16,163,2019-03-151c,0.5
3/15/2019,1c,15,0.5,0,1,NA,0,0,164,2019-03-151c,0.5
3/15/2019,1c,control,0.5,NA,1,NA,0,NA,165,2019-03-151c,0.5
3/15/2019,1c,control,0.5,NA,1,NA,0,NA,166,2019-03-151c,0.5
3/15/2019,2c,3,0.5,-12,1,NA,0,-12,167,2019-03-152c,0.5
3/15/2019,2c,4,0.5,-6,1,NA,0,-6,168,2019-03-152c,0.5
3/15/2019,2c,5,0.5,-4,0,NA,0,-4,169,2019-03-152c,0.5
3/15/2019,2c,7,0.5,-14,0,NA,0,-14,170,2019-03-152c,0.5
3/15/2019,2c,8,0.5,-18,1,NA,0,-18,171,2019-03-152c,0.5
3/15/2019,2c,9,0.5,-20,1,NA,0,-20,172,2019-03-152c,0.5
3/15/2019,2c,10,0.5,-2,1,NA,0,-2,173,2019-03-152c,0.5
3/15/2019,2c,11,0.5,-16,0,NA,0,-16,174,2019-03-152c,0.5
3/15/2019,2c,13,0.5,-8,1,NA,0,-8,175,2019-03-152c,0.5
3/15/2019,2c,14,0.5,0,1,NA,0,0,176,2019-03-152c,0.5
3/15/2019,2c,15,0.5,-10,0,NA,0,-10,177,2019-03-152c,0.5
3/15/2019,2c,control,0.5,NA,1,NA,1,NA,178,2019-03-152c,0.5
3/15/2019,2c,control,0.5,NA,1,NA,0,NA,179,2019-03-152c,0.5
3/15/2019,e,3,1,-20,1,NA,0,-20,180,2019-03-15e,1
3/15/2019,e,4,1,-4,1,NA,0,-4,181,2019-03-15e,1
3/15/2019,e,5,1,-2,1,NA,0,-2,182,2019-03-15e,1
3/15/2019,e,7,1,-12,1,NA,0,-12,183,2019-03-15e,1
3/15/2019,e,8,1,-6,1,NA,0,-6,184,2019-03-15e,1
3/15/2019,e,9,1,-14,0,NA,0,-14,185,2019-03-15e,1
3/15/2019,e,10,1,-8,1,NA,0,-8,186,2019-03-15e,1
3/15/2019,e,11,1,-18,1,NA,1,-18,187,2019-03-15e,1
3/15/2019,e,13,1,-10,1,NA,0,-10,188,2019-03-15e,1
3/15/2019,e,14,1,-16,0,NA,0,-16,189,2019-03-15e,1
3/15/2019,e,15,1,0,1,NA,1,0,190,2019-03-15e,1
3/15/2019,e,control,1,NA,1,NA,0,NA,191,2019-03-15e,1
3/15/2019,e,control,1,NA,1,NA,0,NA,192,2019-03-15e,1
6/17/2019,a,3,0.1,-2,1,NA,0,-2,193,2019-06-17a,0.1
6/17/2019,a,4,0.1,-8,1,NA,0,-8,194,2019-06-17a,0.1
6/17/2019,a,5,0.1,-20,1,NA,1,-20,195,2019-06-17a,0.1
6/17/2019,a,7,0.1,-10,0,NA,0,-10,196,2019-06-17a,0.1
6/17/2019,a,8,0.1,-6,0,NA,0,-6,197,2019-06-17a,0.1
6/17/2019,a,9,0.1,0,0,NA,1,0,198,2019-06-17a,0.1
6/17/2019,a,10,0.1,-16,1,NA,0,-16,199,2019-06-17a,0.1
6/17/2019,a,11,0.1,-18,NA,NA,0,-18,200,2019-06-17a,0.1
6/17/2019,a,13,0.1,-14,0,NA,0,-14,201,2019-06-17a,0.1
6/17/2019,a,14,0.1,-4,1,NA,0,-4,202,2019-06-17a,0.1
6/17/2019,a,15,0.1,-12,1,NA,0,-12,203,2019-06-17a,0.1
6/17/2019,a,control,0.1,NA,1,NA,0,NA,204,2019-06-17a,0.1
6/17/2019,a,control,0.1,NA,1,NA,1,NA,205,2019-06-17a,0.1
2/18/2019,d,3,0.5,-30,1,NA,0,-30,206,2019-02-18d,0.5
2/18/2019,d,4,0.5,-24,1,NA,0,-24,207,2019-02-18d,0.5
2/18/2019,d,5,0.5,-28,0,NA,0,-28,208,2019-02-18d,0.5
2/18/2019,d,7,0.5,-32,0,NA,0,-32,209,2019-02-18d,0.5
2/18/2019,d,8,0.5,-36,1,-8.4,0,-32,210,2019-02-18d,0.5
2/18/2019,d,9,0.5,-36,0,NA,0,-32,211,2019-02-18d,0.5
2/18/2019,d,10,0.5,-20,1,NA,0,-20,212,2019-02-18d,0.5
2/18/2019,d,11,0.5,-36,0,NA,0,-32,213,2019-02-18d,0.5
2/18/2019,d,13,0.5,-26,1,NA,0,-26,214,2019-02-18d,0.5
2/18/2019,d,14,0.5,-22,1,NA,1,-22,215,2019-02-18d,0.5
2/18/2019,d,15,0.5,-34,1,NA,0,-32,216,2019-02-18d,0.5
2/18/2019,d,control,0.5,NA,1,NA,0,NA,217,2019-02-18d,0.5
2/18/2019,d,control,0.5,NA,1,NA,0,NA,218,2019-02-18d,0.5
6/19/2019,a,3,0.1,-4,1,NA,0,-4,219,2019-06-19a,0.1
6/19/2019,a,4,0.1,-12,1,NA,0,-12,220,2019-06-19a,0.1
6/19/2019,a,5,0.1,-14,1,NA,1,-14,221,2019-06-19a,0.1
6/19/2019,a,7,0.1,-8,1,NA,0,-8,222,2019-06-19a,0.1
6/19/2019,a,8,0.1,-2,1,NA,0,-2,223,2019-06-19a,0.1
6/19/2019,a,9,0.1,-20,1,NA,0,-20,224,2019-06-19a,0.1
6/19/2019,a,10,0.1,-16,1,NA,1,-16,225,2019-06-19a,0.1
6/19/2019,a,11,0.1,-6,1,NA,0,-6,226,2019-06-19a,0.1
6/19/2019,a,13,0.1,0,1,NA,0,0,227,2019-06-19a,0.1
6/19/2019,a,14,0.1,-10,0,NA,0,-10,228,2019-06-19a,0.1
6/19/2019,a,15,0.1,-18,1,NA,0,-18,229,2019-06-19a,0.1
6/19/2019,a,control,0.1,NA,1,NA,0,NA,230,2019-06-19a,0.1
6/19/2019,a,control,0.1,NA,1,NA,1,NA,231,2019-06-19a,0.1
4/2/2019,b,3,0.1,-36,1,-24.6,0,-32,232,2019-04-02b,0.1
