date_SC,trial,channel,degree_min,temp_pulled,batch_parasitoid,date_check_3day,discolor_3day,movement_3day,cocoon,stage_l_p_w_3day,date_adult,date_fungus,date_check_7day,discolor_7day,movement_7day,stage_l_p_w_7day,note,est_scp,eclose
14.3.19,e,4,1,-2,A,20.3.19,N,N,N,L,.,27.3.19,.,.,.,.,.,.,N
14.3.19,e,5,1,-16,A,20.3.19,N,Y,N,L,.,.,5.4.19,N,N,P,.,.,N
14.3.19,e,7,1,-18,A,20.3.19,Y,N,N,L,.,.,.,.,.,.,.,.,N
14.3.19,e,8,1,-14,A,20.3.19,N,Y,N,L,.,.,5.4.19,DRY,N,L,.,.,N
14.3.19,e,9,1,-12,B,18.3.19,Y,N,N,L,.,.,.,.,.,.,.,.,N
14.3.19,e,10,1,-4,B,20.3.19,Y,N,N,L,.,.,.,.,.,.,.,.,N
14.3.19,e,11,1,-20,A,20.3.19,Y,N,N,L,.,.,.,.,.,.,.,.,N
14.3.19,e,13,1,-10,A,5.14.19,N,N,N,L,.,.,5.4.19,DRY,N,L,.,.,N
14.3.19,e,14,1,0,A,20.3.19,N,N,N,L,.,.,5.4.19,Y,N,L,.,.,N
14.3.19,e,15,1,-8,A,18.3.19,Y,N,N,L,.,.,.,.,.,.,.,.,N
14.3.19,e,c1,1,.,B,20.3.19,N,Y,N,P,.,.,5.4.19,N,N,L,.,.,N
14.3.19,e,c2,1,.,A,18.3.19,Y,N,N,L,.,.,.,.,.,.,.,.,N
14.6.19,f,3,1,-22,.,17.6.19,N,.,.,L,.,.,.,.,.,.,.,.,N
14.6.19,f,4,1,-24,.,17.6.19,N,.,.,L,.,.,.,.,.,.,.,.,Y
14.6.19,f,7,1,-30,.,17.6.19,N,.,.,L,.,.,.,.,.,.,.,.,N
14.6.19,f,8,1,-34,.,17.6.19,Y,.,.,L,.,.,.,.,.,.,.,.,N
14.6.19,f,10,1,-34,.,17.6.19,Y,.,.,L,.,.,.,.,.,.,.,-23.1,N
14.6.19,f,11,1,-28,.,17.6.19,N,.,.,L,.,.,.,.,.,.,.,-19.2,N
14.6.19,f,13,1,-26,.,17.6.19,N,.,.,L,.,.,.,.,.,.,.,.,N
14.6.19,f,14,1,-32,.,17.6.19,N,.,.,L,.,.,.,.,.,.,.,.,N
14.6.19,f,15,1,-34,.,17.6.19,Y,.,.,L,.,.,.,.,.,.,.,-23.3,Y
14.6.19,f,c1,1,.,.,17.6.19,N,.,.,L,.,.,.,.,.,.,.,.,N
14.6.19,f,c2,1,.,.,17.6.19,N,.,.,L,.,.,.,.,.,.,.,.,Y
14.6.19,f,c3,1,.,.,17.6.19,N,.,.,L,.,.,.,.,.,.,.,.,Y
15.2.19,e,4,1,-10,25,21.2.19,N,Y,Y,L,.,.,.,.,.,.,Probably an artifact,-8.4,N
15.2.19,e,5,1,-16,25,21.2.19,N,Y,Y,L,.,.,.,.,.,.,.,.,N
15.2.19,e,7,1,-18,25,21.2.19,N,Y,Y,L,.,.,.,.,.,.,.,.,Y
15.2.19,e,8,1,-2,25,21.2.19,N,COCC,Y,L,.,.,.,.,.,.,.,.,N
15.2.19,e,9,1,0,25,21.2.19,N,COCC,Y,L,.,.,.,.,.,.,.,.,N
15.2.19,e,10,1,-6,25,21.2.19,N,Y,Y,L,.,.,.,.,.,.,.,.,Y
15.2.19,e,11,1,-4,25,21.2.19,N,Y,Y,L,.,.,.,.,.,.,.,.,Y
15.2.19,e,13,1,-8,25,21.2.19,N,Y,N,L,.,.,.,.,.,.,.,.,N
15.2.19,e,14,1,-14,25,21.2.19,N,Y,Y,L,27.3.19,.,.,.,.,.,2 LARVAE,.,Y
15.2.19,e,15,1,-12,25,21.2.19,N,Y,Y,L,.,.,.,.,.,.,.,.,N
15.2.19,e,c1,1,.,25,21.2.19,N,Y,Y,L,.,.,.,.,.,.,.,.,Y
15.2.19,e,c2,1,.,25,21.2.19,N,Y,N,L,.,.,.,.,.,.,.,.,N
15.2.19,e,c3,1,.,25,21.2.19,N,Y,N,L,.,.,.,.,.,.,.,.,N
